zone,metric,value
CAC,train_mean,9053.1
CAC,train_std,1251.07
CAC,test_realized_mean,8714.9
CAC,test_realized_n_rows,288.0
CAC,z_score_vs_train,-0.27
CAC,same_month_history_mean,9409.72
CAC,z_score_vs_same_month_history,-0.712
MAC,train_mean,7516.27
MAC,train_std,1346.26
MAC,test_realized_mean,8889.34
MAC,test_realized_n_rows,288.0
MAC,z_score_vs_train,1.02
MAC,same_month_history_mean,7760.79
MAC,z_score_vs_same_month_history,0.94
NAC,train_mean,2279.28
NAC,train_std,450.98
NAC,test_realized_mean,2365.58
NAC,test_realized_n_rows,288.0
NAC,z_score_vs_train,0.191
NAC,same_month_history_mean,2420.79
NAC,z_score_vs_same_month_history,-0.159
NEC,train_mean,2852.87
NEC,train_std,593.48
NEC,test_realized_mean,3091.42
NEC,test_realized_n_rows,288.0
NEC,z_score_vs_train,0.402
NEC,same_month_history_mean,3070.86
NEC,z_score_vs_same_month_history,0.044
SAC,train_mean,2153.78
SAC,train_std,277.16
SAC,test_realized_mean,2189.6
SAC,test_realized_n_rows,288.0
SAC,z_score_vs_train,0.129
SAC,same_month_history_mean,2167.45
SAC,z_score_vs_same_month_history,0.088
